channel,type,frequency
BetaCatenin,Ki67neg,-1.064914443
BetaCatenin,pH2AX,-0.560557642
BetaCatenin,Ki67pos,0.473138775
BetaCatenin,Dead_Rh,1.152333311
CD107a,Ki67neg,-0.611585246
CD107a,pH2AX,-1.074674035
CD107a,Ki67pos,1.000139234
CD107a,Dead_Rh,0.686120047
CD326,Ki67neg,-1.112561931
CD326,pH2AX,-0.575002419
CD326,Ki67pos,0.90559419
CD326,Dead_Rh,0.78197016
CD44,Ki67neg,-1.088227691
CD44,pH2AX,-0.247200073
CD44,Ki67pos,1.324588664
CD44,Dead_Rh,0.0108391
CD47,Ki67neg,-0.481414054
CD47,pH2AX,-0.933392159
CD47,Ki67pos,0.03800738
CD47,Dead_Rh,1.376798833
CD71,Ki67neg,-0.875285469
CD71,pH2AX,-0.771887802
CD71,Ki67pos,1.198736389
CD71,Dead_Rh,0.448436882
CD9,Ki67neg,-0.98287383
CD9,pH2AX,-0.736858608
CD9,Ki67pos,0.938156054
CD9,Dead_Rh,0.781576384
CD98,Ki67neg,-0.456337696
CD98,pH2AX,-0.873602554
CD98,Ki67pos,1.421344355
CD98,Dead_Rh,-0.091404105
CK5,Ki67neg,-1.167129199
CK5,pH2AX,-0.425587019
CK5,Ki67pos,0.489509086
CK5,Dead_Rh,1.103207132
CK7,Ki67neg,-1.071553021
CK7,pH2AX,-0.482721619
CK7,Ki67pos,0.323888418
CK7,Dead_Rh,1.230386222
CK8,Ki67neg,-1.068622017
CK8,pH2AX,-0.440557375
CK8,Ki67pos,0.242171426
CK8,Dead_Rh,1.267007965
DNA1,Ki67neg,-0.979403995
DNA1,pH2AX,-0.299287898
DNA1,Ki67pos,-0.113537872
DNA1,Dead_Rh,1.392229766
DNA2,Ki67neg,-0.978467254
DNA2,pH2AX,-0.308266653
DNA2,Ki67pos,-0.104874796
DNA2,Dead_Rh,1.391608702
EGFR,Ki67neg,-0.947819437
EGFR,pH2AX,-0.653988822
EGFR,Ki67pos,0.358726515
EGFR,Dead_Rh,1.243081744
ECadherin,Ki67neg,-0.730061532
ECadherin,pH2AX,-0.570350612
ECadherin,Ki67pos,1.455244726
ECadherin,Dead_Rh,-0.154832582
HER2,Ki67neg,-0.924693861
HER2,pH2AX,-0.612416158
HER2,Ki67pos,0.226091136
HER2,Dead_Rh,1.311018883
HH3,Ki67neg,-1.095343203
HH3,pH2AX,-0.293295337
HH3,Ki67pos,0.081929436
HH3,Dead_Rh,1.306709104
SPhase,Ki67neg,1.439163393
SPhase,pH2AX,-0.20633983
SPhase,Ki67pos,-0.867714023
SPhase,Dead_Rh,-0.365109541
Ki67,Ki67neg,-1.407199118
Ki67,pH2AX,0.024883072
Ki67,Ki67pos,0.512590601
Ki67,Dead_Rh,0.869725445
PanKeratin,Ki67neg,-1.093273266
PanKeratin,pH2AX,-0.48272155
PanKeratin,Ki67pos,0.381885576
PanKeratin,Dead_Rh,1.19410924
DeadCells,Ki67neg,0.734545641
DeadCells,pH2AX,-1.007904106
DeadCells,Ki67pos,-0.702132305
DeadCells,Dead_Rh,0.97549077
Thioredoxin,Ki67neg,-0.83216835
Thioredoxin,pH2AX,-0.337665177
Thioredoxin,Ki67pos,-0.283766961
Thioredoxin,Dead_Rh,1.453600488
Vimentin,Ki67neg,0.054750846
Vimentin,pH2AX,-0.102478188
Vimentin,Ki67pos,1.245616841
Vimentin,Dead_Rh,-1.197889499
cPARP,Ki67neg,-1.123109098
cPARP,pH2AX,-0.55896806
cPARP,Ki67pos,0.765246494
cPARP,Dead_Rh,0.916830664
p53,Ki67neg,-0.848598735
p53,pH2AX,-0.844097369
p53,Ki67pos,0.586762066
p53,Dead_Rh,1.105934038
pH2AX,Ki67neg,-0.833927559
pH2AX,pH2AX,0.795841576
pH2AX,Ki67pos,-0.894870501
pH2AX,Dead_Rh,0.932956483
